Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
975201,10GGIAL43,,,,
975200,892JMFPL26,,,,
975199,81929KMI27,,,,
975198,1UCL25,,,,
975197,10MMFL25,,,,
975196,875ST28,,,,
975195,809KMPL26,,,,
975194,975CIFCP25,,,,
975193,779RIL33,,,,
975192,9MDL26,,,,
975191,771REC33,,,,
975190,777REC26,,,,
975189,925SKFL26,,,,
975188,8995JMFP26,,,,
975187,1330PFSP26,,,,
975185,1090SCNL25,,,,
975184,78MTNL33A,,,,
975183,990VFIPL25,,,,
975182,8860JFHL26,,,,
975181,1295SIFP28,,,,
975180,781SBI38,,,,
975179,13SCNL26,,,,
975178,911ST28,,,,
975177,88ST28,,,,
975176,813ABHF28,,,,
975175,810IIL35,,,,
975174,796IHFCL25,,,,
975173,1019KSPL24,,,,
975172,1195LFL26,,,,
975171,825AFL33,,,,
975170,1350PFSP27,,,,
975169,PCPLZC28,,,,
975168,82185KMI26,,,,
975167,82134KMI25,,,,
975166,1069LFL25,,,,
975165,1171LFL25,,,,
975164,769IIFC38,,,,
975163,984KSPL25,,,,
975162,980KSPL24,,,,
975161,1310SHFL27,,,,
975160,817IML25,,,,
975159,1045CIFC25,,,,
975158,8BFL28,,,,
975157,14AGAB25,,,,
975155,810KMPL26,,,,
975154,11SCNL26,,,,
975153,775IREDA33,,,,
975152,770PGCIL33,,,,
975151,1260MFL25A,,,,
975150,1010CIFC26,,,,
975149,PSLPLZC29,,,,
975148,10BML26,,,,
975147,845SFL26A,,,,
975146,845SFL25A,,,,
975145,845SFL26,,,,
975144,845SFL25,,,,
975143,865MNFL25,,,,
975142,880MFL25,,,,
975141,1075SSF25A,,,,
975140,1075SSFL25,,,,
975139,NNPCPZC28,,,,
975138,7LKCPL24,,,,
975137,MSFLZC25B,,,,
975136,875STSIX28,,,,
975135,962DXX29A,,,,
975134,910DXX29,,,,
975133,2075CSDP24,,,,
975132,1021JMFA25,,,,
975131,1025ICFL25,,,,
975130,810SMIL28,,,,
975129,875SFLTD26,,,,
975128,875SHFL26,,,,
975127,KPILREPO27,,,,
975126,1060KSPL24,,,,
975125,1050KSPL24,,,,
975124,772TPCL32,,,,
975123,1450EARC25,,,,
975122,JMFHL28923,,,,
975121,1115LFL25,,,,
975120,975MFSL26,,,,
975119,1125NEO24B,,,,
975118,1055CIFC26,,,,
975117,1045EFL26,,,,
975116,GHFRESET28,,,,
975115,MDL27923,,,,
975114,815TAGIC33,,,,
975113,945WL29,,,,
975112,815HEGIC33,,,,
975111,804KMIL26,,,,
975110,804KMIL25,,,,
975109,141PST27,,,,
975108,803RECPER,,,,
975107,995PDL26,,,,
975106,859PNBPERP,,,,
975105,763NABAR28,,,,
975104,78SCL30,,,,
975102,749SBI38,,,,
975101,HMTRESET26,,,,
975100,1075AFP25,,,,
975099,MSFLZC25A,,,,
975098,8AFL2026,,,,
975097,1125NEO24A,,,,
975096,975INDIG28,,,,
975095,1075NBSP25,,,,
975094,11VAMPL27,,,,
975093,EELZC25A,,,,
975092,1175ESP25,,,,
975091,850GPL28,,,,
975090,830GPL27,,,,
975089,779BFL33,,,,
975088,105HFL27,,,,
975087,1025HFL26,,,,
975086,10HFL24,,,,
975085,12SII24,,,,
975084,930MOFL33,,,,
975083,DLF20923,,,,
975082,797KMIL25,,,,
975081,950IFSL25,,,,
975080,753IIFCL38,,,,
975079,856UCL25,,,,
975078,798BOM33,,,,
975077,1125NEO24,,,,
975076,799MMFSL26,,,,
975075,9AFP25A,,,,
975074,8AFL26,,,,
975073,9MSFL28,,,,
975072,95MOFL25,,,,
975071,10RGWSPL25,,,,
975070,776THDC33,,,,
975069,757ABFRL30,,,,
975068,803MBPR26,,,,
975067,1085IHFL26,,,,
975066,9096JMFS26,,,,
975065,785BFL28,,,,
975064,1160KFPL25,,,,
975063,1043SSFL25,,,,
975062,860VEL28,,,,
975061,1048EFL26,,,,
975060,1036WB24,,,,
975059,1075SSFL26,,,,
975058,9AFP25,,,,
975057,1125ESFB29,,,,
975056,803EOP25,,,,
975055,785BHFL28,,,,
975054,88CBI33,,,,
975053,MDL31823,,,,
975052,935AFS25,,,,
975051,81EOP28,,,,
975050,1195NFL26,,,,
975049,1050AFP25A,,,,
975048,760PFCL33,,,,
975047,764PFCL26,,,,
975046,PFCLZC26,,,,
975045,1060SSFP25,,,,
975044,784IGT30,,,,
975043,IGT24823,,,,
975042,IGT240823,,,,
975041,945HLFL33,,,,
975040,761MTNL33,,,,
975039,75PGCIL33,,,,
975038,1070FSFB29,,,,
975037,960DIAL30A,,,,
975036,735IGT38,,,,
975035,1095SCNL25,,,,
975034,1051PIRG25,,,,
975033,1005MFL29A,,,,
975032,1075OPGP26,,,,
975031,SHIVA24,,,,
975030,764REC26,,,,
975029,85AHFL26A,,,,
975028,1553PAT25,,,,
975027,IFSL110823,,,,
975026,975IKFFL25,,,,
975025,955RFSPP26,,,,
975024,763IREDA33,,,,
975023,17ENGDPL28,,,,
975022,910MFL2026,,,,
975021,790JUPPL28,,,,
975020,1060AFP24,,,,
975019,82HEPL39,,,,
975018,875STJII28,,,,
975017,1075FSBL29,,,,
975016,1075NBS25A,,,,
975015,995ICFL25B,,,,
975014,940AFS26,,,,
975013,810TRIL26,,,,
975012,985ICFL26,,,,
975011,TRILMLD26,,,,
975010,1005MFL29,,,,
975009,1260MFL25,,,,
975008,12SEP24,,,,
975007,1050AFP25,,,,
975006,735GIL26,,,,
975005,754SBI38,,,,
975004,1075MML26A,,,,
975003,10BML25,,,,
975002,EFCL28723C,,,,
975001,EFCL28723B,,,,
975000,EFCL28723A,,,,
974999,EFCL280723,,,,
974998,1240AFPL29,,,,
974997,1090SCN25,,,,
974996,940AFS28,,,,
974995,807KIDFL28,,,,
974994,1048LFL25,,,,
974993,79585MFS25,,,,
974992,106AFPL25,,,,
974991,12AG725,,,,
974990,7988HFSL26,,,,
974989,94AFS26,,,,
974988,1001AKAR25,,,,
974987,930AML26,,,,
974986,942MDL26,,,,
974985,835AFL28,,,,
974984,882AFS25,,,,
974983,13VISTA25,,,,
974982,759MTNL33,,,,
974981,908AKCFL26,,,,
974980,810SBIPERP,,,,
974979,MSFLZC25,,,,
974978,803ABHF27,,,,
974977,802ABHF28,,,,
974976,797ABF28,,,,
974975,880PCHFL24,,,,
974974,783KMPL28,,,,
974973,EAAAL10723,,,,
974972,896HDFC25A,,,,
974971,896HDFCB25,,,,
974970,757PFCL33,,,,
974969,1075NMFI25,,,,
974968,1125AML30,,,,
974967,860GHF24,,,,
974966,1075MMF26,,,,
974965,89SHFL33,,,,
974964,795IIL28,,,,
974963,1075FSFB29,,,,
974962,12NEO24,,,,
974961,965VFIPL25,,,,
974960,849KIIFB33,,,,
974959,849KIIFB32,,,,
974958,849KIIFB31,,,,
974957,849KIIFB30,,,,
974956,849KIIFB29,,,,
974955,915PLUM26,,,,
974954,849KIIFB28,,,,
974953,849KIIFB27,,,,
974952,1058KSP24A,,,,
974951,825GPL28,,,,
974950,815GPL26,,,,
974949,995ICFL25C,,,,
974948,995ISCFL25,,,,
974947,HDBFSLRE26,,,,
974946,GIPLZC26,,,,
974945,805KIDFL28,,,,
974944,774PNB38,,,,
974943,795AFL26,,,,
974942,12ECPL27,,,,
974941,807KPIL26,,,,
974940,745IRFC28,,,,
974939,741IRFC26,,,,
974938,HFL280623,,,,
974937,1050HFL28A,,,,
974936,749CHT41,,,,
974935,890JFPL25,,,,
974934,890JFPL26,,,,
974933,795IIL28A,,,,
974932,1165KFPL25,,,,
974931,EELZC25,,,,
974930,SFLREPO25,,,,
974929,865GHFL25,,,,
974928,803ABF33,,,,
974927,FFSL27,,,,
974926,1150NEO24,,,,
974925,1048KSPL24,,,,
974924,755KMBL30,,,,
974923,115AKAR24,,,,
974922,88JMFPL25,,,,
974921,8MWML24,,,,
974920,950HLFL33,,,,
974919,11SCNL25,,,,
974918,880JMFCS25,,,,
974917,7MHPL26,,,,
974916,748PFCL38,,,,
974915,1030MCSL25,,,,
974914,1075FSFB28,,,,
974913,850GRIHF24,,,,
974912,865GRIHF25,,,,
974911,NWFL26,,,,
974910,837OPAL26,,,,
974909,8NST28,,,,
974908,786NST26,,,,
974907,NBSPGSEC24,,,,
974906,743NBFID33,,,,
974905,91FSBFL26,,,,
974904,785IT40,,,,
974903,975HHFL30,,,,
974902,10SSFL25,,,,
974901,9NAC24,,,,
974900,775HDFCB33,,,,
974899,746REC28,,,,
974898,744REC26,,,,
974897,116KFPL25,,,,
974896,841LGS725,,,,
974895,1135ATIP28,,,,
974894,890VCL25,,,,
974893,1IML24,,,,
974892,79ABF28,,,,
974891,773BFL28,,,,
974890,9JMFCSL27,,,,
974889,9JMFCSL26A,,,,
974888,975PCL2026,,,,
974887,1025UCL24,,,,
974886,817IML24,,,,
